PR_ID,Title,Status,Author,Creation_Date,Completion_Date,Duration_Hours,Source_Branch,Target_Branch,Reviewer_Count,Approvals,Rejections,Is_Completed,Is_Abandoned
1297,Migration of types to individual files ,active,unknown@unknown.com,2025-06-16 23:40,Pending,0,type-per-file,master,2,0,0,False,False
1292,GO Making half yearly reports visible in GO,active,unknown@unknown.com,2025-06-11 15:27,Pending,0,feature/20294-go-making-half-yearly-reports-visible-in-go-zinnia,develop,2,1,0,False,False
1289,Safeguarding and BehaviorCode certification flags ...,completed,unknown@unknown.com,2025-06-03 20:19,Pending,0,feature/19829-availability-of-check-boxes-for-safeguarding-behavior-code,develop,2,1,0,True,False
1286,19921 - Optimized the sql to improve the activity ...,completed,unknown@unknown.com,2025-05-29 09:10,Pending,0,feature/19921-activity-report-generation-improvement,develop,3,2,0,True,False
1284,Merge release 1.2.16 into master,completed,unknown@unknown.com,2025-05-26 14:03,Pending,0,release/1.2.16,master,0,0,0,True,False
1283,Retrieved custom sql scripts from db + bug fixing ...,completed,unknown@unknown.com,2025-05-26 12:23,Pending,0,feature/17814-retrieve-custom-sql-scripts-from-db,develop,1,1,0,True,False
1278,19922 - Use Semaphore concept to allow only one ac...,completed,unknown@unknown.com,2025-05-21 08:30,Pending,0,feature/use-semaphore-on-activity-report,develop,3,2,0,True,False
1268,19818 [GO] - change request - Adding a files tab t...,completed,unknown@unknown.com,2025-05-09 07:37,Pending,0,feature/19818-adding-Files-tab-and-Journal,develop,2,2,0,True,False
1267,Show 'Saving...' message when adding a new user (i...,completed,unknown@unknown.com,2025-05-09 07:25,Pending,0,feature/19845-adding-user-in-inputs-doesnt-show-any-message-like-before-a-Saving-text,develop,3,2,0,True,False
1266,Fix incorrect message showed during the grant reco...,completed,unknown@unknown.com,2025-05-08 19:03,Pending,0,feature/16237-fix-message-showed-on-grant-reconciliation-process,develop,3,2,0,True,False
1257,Split FIMS activity beneficiary script to be reuse...,completed,unknown@unknown.com,2025-05-01 10:24,Pending,0,feature/19732-split-fims-activity-beneficiary-script,develop,3,3,0,True,False
1256,Setting Chosen selects defaults globally,completed,unknown@unknown.com,2025-04-30 20:13,Pending,0,feature/19137-Manage-Team-autocompletes-fix,develop,3,3,0,True,False
1255,19137 - Manage team - search user by first name in...,completed,unknown@unknown.com,2025-04-29 18:04,Pending,0,feature/19137-Manage-Team-autocompletes-fix,develop,3,2,0,True,False
1253,Merge master into develop on account of 1.2.14,completed,unknown@unknown.com,2025-04-29 09:18,Pending,0,master,develop,0,0,0,True,False
1252,Merge release 1.2.14 into master,completed,unknown@unknown.com,2025-04-29 09:18,Pending,0,release/1.2.14,master,0,0,0,True,False
1251,Merge master into develop on account of 1.2.13,completed,unknown@unknown.com,2025-04-28 19:42,Pending,0,master,develop,0,0,0,True,False
1250,Merge release 1.2.13 into master,completed,unknown@unknown.com,2025-04-28 19:41,Pending,0,release/1.2.13,master,0,0,0,True,False
1249,19730 - Add FromTemplateTeamUserId property,completed,unknown@unknown.com,2025-04-28 19:16,Pending,0,feature/19431-Add-TeamMember-Flags,develop,1,1,0,True,False
1242,Separate Vietnam and Laos: added flag AvailableFor...,completed,unknown@unknown.com,2025-04-17 15:41,Pending,0,feature/19533-Speakers-To-separate-Vietnam-and-laos-Asia-with-flag-AvailableForSpeaker,develop,3,2,0,True,False
